Продукт,Калорийность,Белки,Жиры,Углеводы
Бифштекс с яйцом,"326,4 кКал","326,4 кКал","326,4 кКал","326,4 кКал"
Бифштексы рубленые,166 кКал,166 кКал,166 кКал,166 кКал
Бобовые с копченой грудинкой или корейкой,"381,4 кКал","381,4 кКал","381,4 кКал","381,4 кКал"
Бозбаш,"87,9 кКал","87,9 кКал","87,9 кКал","87,9 кКал"
Брюква запеченная,"51,1 кКал","51,1 кКал","51,1 кКал","51,1 кКал"
Брюква тушеная,"113,5 кКал","113,5 кКал","113,5 кКал","113,5 кКал"
Вареники ленивые (полуфабрикат),"248,2 кКал","248,2 кКал","248,2 кКал","248,2 кКал"
Вареники ленивые отварные,"355,4 кКал","355,4 кКал","355,4 кКал","355,4 кКал"
Вареники с брусникой и яблоками по-уральски,"106,1 кКал","106,1 кКал","106,1 кКал","106,1 кКал"
Вареники с капустой,"79,1 кКал","79,1 кКал","79,1 кКал","79,1 кКал"
"Вареники с творожным, фруктовым или овощным фаршем","281,3 кКал","281,3 кКал","281,3 кКал","281,3 кКал"
Волованы,435 кКал,435 кКал,435 кКал,435 кКал
Волованы с икрой,"293,2 кКал","293,2 кКал","293,2 кКал","293,2 кКал"
Волованы с курицей,"410,8 кКал","410,8 кКал","410,8 кКал","410,8 кКал"
Волованы с окороком,"480,1 кКал","480,1 кКал","480,1 кКал","480,1 кКал"
Волованы с салатом,"326,6 кКал","326,6 кКал","326,6 кКал","326,6 кКал"
Волованы с семгой или икрой,"333,6 кКал","333,6 кКал","333,6 кКал","333,6 кКал"
Вымя отварное в соусе,"70,7 кКал","70,7 кКал","70,7 кКал","70,7 кКал"
Галантин из рыбы,"145,1 кКал","145,1 кКал","145,1 кКал","145,1 кКал"
Говядина в кисло-сладком соусе,"354,9 кКал","354,9 кКал","354,9 кКал","354,9 кКал"
Говядина в луковом соусе запеченная,"178,5 кКал","178,5 кКал","178,5 кКал","178,5 кКал"
"Говядина, запеченная с макаронами","359,4 кКал","359,4 кКал","359,4 кКал","359,4 кКал"
"Говядина, тушенная с луком, орехами и чесноком (адыгейское национальное блюдо)","530,2 кКал","530,2 кКал","530,2 кКал","530,2 кКал"
"Говядина, фаршированная грибами","326,5 кКал","326,5 кКал","326,5 кКал","326,5 кКал"
Голубцы овощные,"190,9 кКал","190,9 кКал","190,9 кКал","190,9 кКал"
Горбуша в сливках,"129,5 кКал","129,5 кКал","129,5 кКал","129,5 кКал"
Горячий паштет из печени,"119,4 кКал","119,4 кКал","119,4 кКал","119,4 кКал"
Грибная запеканка,"145,2 кКал","145,2 кКал","145,2 кКал","145,2 кКал"
Грибная икра,"88,4 кКал","88,4 кКал","88,4 кКал","88,4 кКал"
Грибные пельмени,"185,8 кКал","185,8 кКал","185,8 кКал","185,8 кКал"
Грибные ушки,"341,7 кКал","341,7 кКал","341,7 кКал","341,7 кКал"
"Грибочки калевальские (рыба, фаршированная яйцом, - карельское национальное блюдо)","185,7 кКал","185,7 кКал","185,7 кКал","185,7 кКал"
Грибы в сметанном соусе,"204,2 кКал","204,2 кКал","204,2 кКал","204,2 кКал"
Грибы в сметанном соусе,"230,5 кКал","230,5 кКал","230,5 кКал","230,5 кКал"
Грибы жареные,"162,1 кКал","162,1 кКал","162,1 кКал","162,1 кКал"
Грибы по-деревенски,"51,1 кКал","51,1 кКал","51,1 кКал","51,1 кКал"
Грибы по-селянски,180 кКал,180 кКал,180 кКал,180 кКал
Грибы с квашеной капустой,"138,9 кКал","138,9 кКал","138,9 кКал","138,9 кКал"
Грибы с квашеной капустой,"58,7 кКал","58,7 кКал","58,7 кКал","58,7 кКал"
"Грудинка, фаршированная кашей","283,8 кКал","283,8 кКал","283,8 кКал","283,8 кКал"
Гуляш,326 кКал,326 кКал,326 кКал,326 кКал
Гуляш с капустой,"81,3 кКал","81,3 кКал","81,3 кКал","81,3 кКал"
"Гусь, утка фаршированные","437,2 кКал","437,2 кКал","437,2 кКал","437,2 кКал"
Драники,"69,3 кКал","69,3 кКал","69,3 кКал","69,3 кКал"
Драчена,"196,7 кКал","196,7 кКал","196,7 кКал","196,7 кКал"
Дрочена,253 кКал,253 кКал,253 кКал,253 кКал
"Еда ""Быстрая""","241,7 кКал","241,7 кКал","241,7 кКал","241,7 кКал"
Ежики сибирские,"184,7 кКал","184,7 кКал","184,7 кКал","184,7 кКал"
Жал-баур (шашлык из печени - кабардино-балкарское национальное блюдо),"383,5 кКал","383,5 кКал","383,5 кКал","383,5 кКал"
Жареная курица и бульон,212 кКал,212 кКал,212 кКал,212 кКал
Жареная рыба под маринадом,"215,4 кКал","215,4 кКал","215,4 кКал","215,4 кКал"
Жаренный картофель с колбасой,"83,9 кКал","83,9 кКал","83,9 кКал","83,9 кКал"
"Жаркое ""Вкусное""","179,4 кКал","179,4 кКал","179,4 кКал","179,4 кКал"
"Жаркое ""Казань"" (жаркое с черносливом - татарское национальное блюдо)","227,6 кКал","227,6 кКал","227,6 кКал","227,6 кКал"
Жаркое из кролика (зайчатины),"182,1 кКал","182,1 кКал","182,1 кКал","182,1 кКал"
Жаркое из курицы по-русски,"368,8 кКал","368,8 кКал","368,8 кКал","368,8 кКал"
Жаркое из свинины,"233,1 кКал","233,1 кКал","233,1 кКал","233,1 кКал"
Жаркое из субпродуктов по-ингушски,"121,3 кКал","121,3 кКал","121,3 кКал","121,3 кКал"
Жаркое из фаршированной свинины,102 кКал,102 кКал,102 кКал,102 кКал
Жаркое из цыплят и субпродуктов кур,"280,9 кКал","280,9 кКал","280,9 кКал","280,9 кКал"
Жаркое по-гусарски,"153,6 кКал","153,6 кКал","153,6 кКал","153,6 кКал"
Жаркое по-домашнему,248 кКал,248 кКал,248 кКал,248 кКал
Жаркое с грибами по-русски,"205,4 кКал","205,4 кКал","205,4 кКал","205,4 кКал"
Запеканка из икры частиковых рыб (национальное блюдо народов Севера),"122,8 кКал","122,8 кКал","122,8 кКал","122,8 кКал"
Запеканка из кабачков,"142,3 кКал","142,3 кКал","142,3 кКал","142,3 кКал"
Запеканка из лапши со смородиной,"164,4 кКал","164,4 кКал","164,4 кКал","164,4 кКал"
Запеканка из макарон с творогом,"241,8 кКал","241,8 кКал","241,8 кКал","241,8 кКал"
Запеканка из отварного картофеля,133 кКал,133 кКал,133 кКал,133 кКал
Запеканка из риса с ревенем,"155,3 кКал","155,3 кКал","155,3 кКал","155,3 кКал"
Запеканка из спаржи и риса,"137,5 кКал","137,5 кКал","137,5 кКал","137,5 кКал"
Запеканка из творога,"299,7 кКал","299,7 кКал","299,7 кКал","299,7 кКал"
Запеканка из творога и гречневой крупы,"168,3 кКал","168,3 кКал","168,3 кКал","168,3 кКал"
Запеканка из тыквы,"227,8 кКал","227,8 кКал","227,8 кКал","227,8 кКал"
Запеканка из цветной капусты с сыром,"160,7 кКал","160,7 кКал","160,7 кКал","160,7 кКал"
Запеканка из черного хлеба,"180,3 кКал","180,3 кКал","180,3 кКал","180,3 кКал"
Запеканка из яблок,"147,7 кКал","147,7 кКал","147,7 кКал","147,7 кКал"
Запеканка капустная,"161,6 кКал","161,6 кКал","161,6 кКал","161,6 кКал"
Запеканка картофельная или рулет картофельный с мясом или субпродуктами,"180,3 кКал","180,3 кКал","180,3 кКал","180,3 кКал"
Запеканка морковная с творогом и без творога,"192,6 кКал","192,6 кКал","192,6 кКал","192,6 кКал"
Запеканка овощная,90 кКал,90 кКал,90 кКал,90 кКал
Запеканка рисовая с творогом,"200,3 кКал","200,3 кКал","200,3 кКал","200,3 кКал"
"Запеканка рисовая, манная, пшенная, пшеничная","147,8 кКал","147,8 кКал","147,8 кКал","147,8 кКал"
Запеканка со свежими плодами,"157,8 кКал","157,8 кКал","157,8 кКал","157,8 кКал"
Запеченная маринованная курица,"201,9 кКал","201,9 кКал","201,9 кКал","201,9 кКал"
Запеченная цветная капуста,99 кКал,99 кКал,99 кКал,99 кКал
Запеченные творожные клецки,"214,1 кКал","214,1 кКал","214,1 кКал","214,1 кКал"
Заячьи шкурки,"35,9 кКал","35,9 кКал","35,9 кКал","35,9 кКал"
Зразы донские,"337,1 кКал","337,1 кКал","337,1 кКал","337,1 кКал"
Зразы картофельные,"189,7 кКал","189,7 кКал","189,7 кКал","189,7 кКал"
"Зразы картофельные с фаршем из пасты ""Океан""","174,8 кКал","174,8 кКал","174,8 кКал","174,8 кКал"
Зразы отбивные,"266,2 кКал","266,2 кКал","266,2 кКал","266,2 кКал"
Зразы рубленые,"303,4 кКал","303,4 кКал","303,4 кКал","303,4 кКал"
Зразы рыбные с черносливом по-российски,122 кКал,122 кКал,122 кКал,122 кКал
Имам баилди,"153,2 кКал","153,2 кКал","153,2 кКал","153,2 кКал"
Имбирно-медовый цыпленок,"193,1 кКал","193,1 кКал","193,1 кКал","193,1 кКал"
Индейка с грибами,"221,4 кКал","221,4 кКал","221,4 кКал","221,4 кКал"
"Кабачки и цветная капуста, запеченные под соусом","179,7 кКал","179,7 кКал","179,7 кКал","179,7 кКал"
Кабачки с помидорами,"104,4 кКал","104,4 кКал","104,4 кКал","104,4 кКал"
Кабачки улыбаются,"57,5 кКал","57,5 кКал","57,5 кКал","57,5 кКал"
Кабачки фаршированные в томатном соку,"47,1 кКал","47,1 кКал","47,1 кКал","47,1 кКал"
Кабачки фаршированные мясом,"115,9 кКал","115,9 кКал","115,9 кКал","115,9 кКал"
"Кабачки, баклажаны, перец или помидоры, фаршированные мясом или рисом","154,9 кКал","154,9 кКал","154,9 кКал","154,9 кКал"
Калаатикко (из картофеля),"119,4 кКал","119,4 кКал","119,4 кКал","119,4 кКал"
Калитки картофельные,"157,1 кКал","157,1 кКал","157,1 кКал","157,1 кКал"
Кальмары жареные,"174,6 кКал","174,6 кКал","174,6 кКал","174,6 кКал"
Капуста отварная с маслом или соусом,92 кКал,92 кКал,92 кКал,92 кКал
Капуста по-охотничьи,"65,8 кКал","65,8 кКал","65,8 кКал","65,8 кКал"
Капуста со сметаной в горшочке,"119,4 кКал","119,4 кКал","119,4 кКал","119,4 кКал"
Капуста тушеная,"102,2 кКал","102,2 кКал","102,2 кКал","102,2 кКал"
Капуста тушеная,"99,3 кКал","99,3 кКал","99,3 кКал","99,3 кКал"
Капуста тушеная с грибами,"132,1 кКал","132,1 кКал","132,1 кКал","132,1 кКал"
"Капуста, тушенная с лимонным соком","79,6 кКал","79,6 кКал","79,6 кКал","79,6 кКал"
"Капуста, тушенная со свеклой","56,4 кКал","56,4 кКал","56,4 кКал","56,4 кКал"
Капустные котлеты,"99,4 кКал","99,4 кКал","99,4 кКал","99,4 кКал"
Капустные рулетики,160 кКал,160 кКал,160 кКал,160 кКал
Капустный пирог,158 кКал,158 кКал,158 кКал,158 кКал
Карп по-австрийски,"150,1 кКал","150,1 кКал","150,1 кКал","150,1 кКал"
"Картофельные котлеты, запеченные под соусом грибным или сметанным соусом","228,9 кКал","228,9 кКал","228,9 кКал","228,9 кКал"
Картофельные лепешки (национальное блюдо республики Коми),"182,7 кКал","182,7 кКал","182,7 кКал","182,7 кКал"
Картофельные оладьи с сыром,178 кКал,178 кКал,178 кКал,178 кКал
Картофельные оладьи со свежей капустой,"185,3 кКал","185,3 кКал","185,3 кКал","185,3 кКал"
Картофельный хворост,"227,9 кКал","227,9 кКал","227,9 кКал","227,9 кКал"
Кезан-кебаб,"128,3 кКал","128,3 кКал","128,3 кКал","128,3 кКал"
Кильки с картофельным салатом и яйцом,"114,6 кКал","114,6 кКал","114,6 кКал","114,6 кКал"
Киприана,"294,3 кКал","294,3 кКал","294,3 кКал","294,3 кКал"
Кисло-сладкая капуста,"75,7 кКал","75,7 кКал","75,7 кКал","75,7 кКал"
Кольраби с томатным соусом,"80,6 кКал","80,6 кКал","80,6 кКал","80,6 кКал"
"Кольраби, тушенная с морковью","65,6 кКал","65,6 кКал","65,6 кКал","65,6 кКал"
Корнетики с муссом ветчины,"287,1 кКал","287,1 кКал","287,1 кКал","287,1 кКал"
"Котлета ""Аленушкина загадка""",263 кКал,263 кКал,263 кКал,263 кКал
Котлетки по-приморски,"151,9 кКал","151,9 кКал","151,9 кКал","151,9 кКал"
Котлеты,"227,4 кКал","227,4 кКал","227,4 кКал","227,4 кКал"
"Котлеты ""Централь""","203,1 кКал","203,1 кКал","203,1 кКал","203,1 кКал"
Котлеты гороховые,236 кКал,236 кКал,236 кКал,236 кКал
Котлеты из брюквы,"99,3 кКал","99,3 кКал","99,3 кКал","99,3 кКал"
Котлеты из кабачков с творогом,"122,5 кКал","122,5 кКал","122,5 кКал","122,5 кКал"
Котлеты из овощей,"187,6 кКал","187,6 кКал","187,6 кКал","187,6 кКал"
Котлеты из свинины по-сарански (мордовское национальное блюдо),"571,6 кКал","571,6 кКал","571,6 кКал","571,6 кКал"
"Котлеты из филе птицы или дичи, панированные жареные","403,7 кКал","403,7 кКал","403,7 кКал","403,7 кКал"
Котлеты или биточки рыбные,"168,1 кКал","168,1 кКал","168,1 кКал","168,1 кКал"
Котлеты капустно-морковные,198 кКал,198 кКал,198 кКал,198 кКал
Котлеты капустные,191 кКал,191 кКал,191 кКал,191 кКал
Котлеты картофельные,"189,2 кКал","189,2 кКал","189,2 кКал","189,2 кКал"
Котлеты морковные,"206,2 кКал","206,2 кКал","206,2 кКал","206,2 кКал"
Котлеты мясо-картофельные по-хлыновски,"342,9 кКал","342,9 кКал","342,9 кКал","342,9 кКал"
Котлеты натуральные,"438,2 кКал","438,2 кКал","438,2 кКал","438,2 кКал"
Котлеты натуральные из филе птицы или дичи под соусом паровым с грибами,"312,2 кКал","312,2 кКал","312,2 кКал","312,2 кКал"
"Котлеты натуральные из филе птицы, дичи или кролика с гарниром","301,7 кКал","301,7 кКал","301,7 кКал","301,7 кКал"
Котлеты натуральные паровые,"209,8 кКал","209,8 кКал","209,8 кКал","209,8 кКал"
Котлеты натуральные рубленые,"490,5 кКал","490,5 кКал","490,5 кКал","490,5 кКал"
Котлеты отбивные,"505,2 кКал","505,2 кКал","505,2 кКал","505,2 кКал"
Котлеты по-гречески,"178,1 кКал","178,1 кКал","178,1 кКал","178,1 кКал"
Котлеты по-киевски,"444,7 кКал","444,7 кКал","444,7 кКал","444,7 кКал"
Котлеты полтавские (украинское национальное блюдо),"465,7 кКал","465,7 кКал","465,7 кКал","465,7 кКал"
"Котлеты рубленые из кур, кролика, запеченные с соусом молочным","301,8 кКал","301,8 кКал","301,8 кКал","301,8 кКал"
"Котлеты рубленые из птицы, дичи или кролика с гарниром","328,4 кКал","328,4 кКал","328,4 кКал","328,4 кКал"
"Котлеты рубленые, запеченные с молочным соусом","285,3 кКал","285,3 кКал","285,3 кКал","285,3 кКал"
Котлеты рыбные любительские,"148,2 кКал","148,2 кКал","148,2 кКал","148,2 кКал"
Котлеты рыбные с капустой и морковью,"288,7 кКал","288,7 кКал","288,7 кКал","288,7 кКал"
Котлеты рыбные с омлетом и сыром,"322,6 кКал","322,6 кКал","322,6 кКал","322,6 кКал"
Котлеты свекольные,"153,5 кКал","153,5 кКал","153,5 кКал","153,5 кКал"
"Котлеты, биточки из рыбы и пасты ""Океан""",362 кКал,362 кКал,362 кКал,362 кКал
"Котлеты, биточки, шницели","317,7 кКал","317,7 кКал","317,7 кКал","317,7 кКал"
Крабы с яйцом,"251,2 кКал","251,2 кКал","251,2 кКал","251,2 кКал"
Красная капуста,73 кКал,73 кКал,73 кКал,73 кКал
"Краснокочанная капуста, тушенная с яблоками","44,1 кКал","44,1 кКал","44,1 кКал","44,1 кКал"
Креветки с соусом,"211,3 кКал","211,3 кКал","211,3 кКал","211,3 кКал"
"Креветки, запеченные под сметанным или молочным соусом","175,7 кКал","175,7 кКал","175,7 кКал","175,7 кКал"
Крокеты картофельные,"187,3 кКал","187,3 кКал","187,3 кКал","187,3 кКал"
Крокеты картофельные,"207,5 кКал","207,5 кКал","207,5 кКал","207,5 кКал"
Крокеты картофельные,"239,7 кКал","239,7 кКал","239,7 кКал","239,7 кКал"
Кролик в маринаде,"194,5 кКал","194,5 кКал","194,5 кКал","194,5 кКал"
Кролик по-любительски,455 кКал,455 кКал,455 кКал,455 кКал
Кролик под ореховым соусом,"205,4 кКал","205,4 кКал","205,4 кКал","205,4 кКал"
Курзе с зеленью (пельмени с фаршем из зелени - дагестанское национальное блюдо),"162,8 кКал","162,8 кКал","162,8 кКал","162,8 кКал"
"Куриное филе, фаршированное грибами","226,2 кКал","226,2 кКал","226,2 кКал","226,2 кКал"
Куриные грудки с соусом из грецких орехов,"227,2 кКал","227,2 кКал","227,2 кКал","227,2 кКал"
Куриные колбаски с жареным картофелем,"141,9 кКал","141,9 кКал","141,9 кКал","141,9 кКал"
Курица по-купечески,"127,9 кКал","127,9 кКал","127,9 кКал","127,9 кКал"
Курица почти в сметане,"338,8 кКал","338,8 кКал","338,8 кКал","338,8 кКал"
Курица фаршированная (галантин) или поросенок фаршированный,"325,3 кКал","325,3 кКал","325,3 кКал","325,3 кКал"
"Курица, жаренная целиком","133,8 кКал","133,8 кКал","133,8 кКал","133,8 кКал"
"Курица, тушённая с картофелем и помидорами",123 кКал,123 кКал,123 кКал,123 кКал
Лангет,"381,3 кКал","381,3 кКал","381,3 кКал","381,3 кКал"
Лук маринованный,"82,2 кКал","82,2 кКал","82,2 кКал","82,2 кКал"
Лук порей с грибами,"58,3 кКал","58,3 кКал","58,3 кКал","58,3 кКал"
Лук-порей со свининой,"207,5 кКал","207,5 кКал","207,5 кКал","207,5 кКал"
"Лук, жареный во фритюре","239,7 кКал","239,7 кКал","239,7 кКал","239,7 кКал"
Луковый клопс,"181,4 кКал","181,4 кКал","181,4 кКал","181,4 кКал"
Люля-кебаб (азербайджанское национальное блюдо),"338,7 кКал","338,7 кКал","338,7 кКал","338,7 кКал"
Макароны с яйцом,"114,9 кКал","114,9 кКал","114,9 кКал","114,9 кКал"
Манты с бараниной (казахское национальное блюдо),"204,9 кКал","204,9 кКал","204,9 кКал","204,9 кКал"
Манты с тыквой,"247,7 кКал","247,7 кКал","247,7 кКал","247,7 кКал"
Масса из рыбы горячего копчения,"340,1 кКал","340,1 кКал","340,1 кКал","340,1 кКал"
Минестроне,"66,8 кКал","66,8 кКал","66,8 кКал","66,8 кКал"
"Мозги, запеченные на гренках","219,6 кКал","219,6 кКал","219,6 кКал","219,6 кКал"
Морепродукты под майонезом,"472,2 кКал","472,2 кКал","472,2 кКал","472,2 кКал"
Морковь в формочках,"74,4 кКал","74,4 кКал","74,4 кКал","74,4 кКал"
Морковь глазированная,"146,3 кКал","146,3 кКал","146,3 кКал","146,3 кКал"
Морковь с зеленым горошком в молочном соусе,"184,8 кКал","184,8 кКал","184,8 кКал","184,8 кКал"
Морковь тушеная,108 кКал,108 кКал,108 кКал,108 кКал
Морковь тушеная с рисом и черносливом,"174,6 кКал","174,6 кКал","174,6 кКал","174,6 кКал"
"Морковь, тушенная в сметанном соусе","152,4 кКал","152,4 кКал","152,4 кКал","152,4 кКал"
"Морковь, тушенная с репчатым луком","57,6 кКал","57,6 кКал","57,6 кКал","57,6 кКал"
"Морковь, тушенная с рисом","130,8 кКал","130,8 кКал","130,8 кКал","130,8 кКал"
"Морковь, тушенная с черносливом или яблоками","146,6 кКал","146,6 кКал","146,6 кКал","146,6 кКал"
Морской гребешок или креветки заливные,222 кКал,222 кКал,222 кКал,222 кКал
Морской гребешок отварной с соусом,159 кКал,159 кКал,159 кКал,159 кКал
"Мясо ""Пальчики оближешь""","269,4 кКал","269,4 кКал","269,4 кКал","269,4 кКал"
Мясо в горшочке,"57,9 кКал","57,9 кКал","57,9 кКал","57,9 кКал"
Мясо в шубе,"273,5 кКал","273,5 кКал","273,5 кКал","273,5 кКал"
Мясо отварное,"307,2 кКал","307,2 кКал","307,2 кКал","307,2 кКал"
Мясо по-корейски,"173,5 кКал","173,5 кКал","173,5 кКал","173,5 кКал"
Мясо по-французски,"264,6 кКал","264,6 кКал","264,6 кКал","264,6 кКал"
Мясо с курагой,"181,6 кКал","181,6 кКал","181,6 кКал","181,6 кКал"
Мясо с овощами по-индонезийски,"174,7 кКал","174,7 кКал","174,7 кКал","174,7 кКал"
Мясо тушеное,"252,3 кКал","252,3 кКал","252,3 кКал","252,3 кКал"
Мясо шпигованное,174 кКал,174 кКал,174 кКал,174 кКал
"Мясо, жаренное крупным куском","399,3 кКал","399,3 кКал","399,3 кКал","399,3 кКал"
"Мясо, жаренное крупным куском, шпигованное","391,5 кКал","391,5 кКал","391,5 кКал","391,5 кКал"
"Мясо, тушенное с луком в горшочке","293,2 кКал","293,2 кКал","293,2 кКал","293,2 кКал"
Овощи в молочном соусе (1-й вариант),"120,8 кКал","120,8 кКал","120,8 кКал","120,8 кКал"
Овощи отварные с жиром,"90,5 кКал","90,5 кКал","90,5 кКал","90,5 кКал"
"Овощи, припущенные в молочном или сметанном соусе","232,1 кКал","232,1 кКал","232,1 кКал","232,1 кКал"
"Овощи, припущенные с жиром","109,2 кКал","109,2 кКал","109,2 кКал","109,2 кКал"
Овощное рагу с шампиньонами,"73,2 кКал","73,2 кКал","73,2 кКал","73,2 кКал"
Оладьи из капусты с сыром,"213,2 кКал","213,2 кКал","213,2 кКал","213,2 кКал"
Оладьи из печени,"229,1 кКал","229,1 кКал","229,1 кКал","229,1 кКал"
Омлет из взбитых сливок,"256,8 кКал","256,8 кКал","256,8 кКал","256,8 кКал"
Омлет натуральный,"221,9 кКал","221,9 кКал","221,9 кКал","221,9 кКал"
Омлет натуральный,128 кКал,128 кКал,128 кКал,128 кКал
Омлет с сыром,342 кКал,342 кКал,342 кКал,342 кКал
"Омлет, смешанный с мясными продуктами","351,4 кКал","351,4 кКал","351,4 кКал","351,4 кКал"
"Осетрина, белуга, севрюга, сом с гарниром","132,6 кКал","132,6 кКал","132,6 кКал","132,6 кКал"
Острый рис с помидорами,"128,4 кКал","128,4 кКал","128,4 кКал","128,4 кКал"
Охотничье блюдо,"114,2 кКал","114,2 кКал","114,2 кКал","114,2 кКал"
Палочки из оленины (национальное блюдо народов Севера),"527,1 кКал","527,1 кКал","527,1 кКал","527,1 кКал"
Пампушки с чесноком,"215,3 кКал","215,3 кКал","215,3 кКал","215,3 кКал"
Паста Наполитана,"289,6 кКал","289,6 кКал","289,6 кКал","289,6 кКал"
Паста сырная,"555,2 кКал","555,2 кКал","555,2 кКал","555,2 кКал"
Паштет из печени,"294,5 кКал","294,5 кКал","294,5 кКал","294,5 кКал"
Паштет из фасоли,"330,5 кКал","330,5 кКал","330,5 кКал","330,5 кКал"
Паштет рыбный,"276,4 кКал","276,4 кКал","276,4 кКал","276,4 кКал"
"Пельмени ""Московские""",279 кКал,279 кКал,279 кКал,279 кКал
Пельмени из говядины и свинины,"276,9 кКал","276,9 кКал","276,9 кКал","276,9 кКал"
Пельмени мясные,245 кКал,245 кКал,245 кКал,245 кКал
Пельмени по-мордовски,"249,3 кКал","249,3 кКал","249,3 кКал","249,3 кКал"
Пельмени рыбные (полуфабрикат),"209,2 кКал","209,2 кКал","209,2 кКал","209,2 кКал"
"Пельмени рыбные, запеченные в горшочке","377,5 кКал","377,5 кКал","377,5 кКал","377,5 кКал"
Пельмени со свининой и свежей капустой,"268,5 кКал","268,5 кКал","268,5 кКал","268,5 кКал"
Пельмени старорусские с субпродуктами,"265,2 кКал","265,2 кКал","265,2 кКал","265,2 кКал"
"Пельмени, запеченные в сметане","616,6 кКал","616,6 кКал","616,6 кКал","616,6 кКал"
Перец с грибами,"73,4 кКал","73,4 кКал","73,4 кКал","73,4 кКал"
"Перец, фаршированный брынзой или сыром с яйцом (карачаево-черкесское национальное блюдо)","175,2 кКал","175,2 кКал","175,2 кКал","175,2 кКал"
"Перец, фаршированный овощами и рисом","131,8 кКал","131,8 кКал","131,8 кКал","131,8 кКал"
Печенка в сметане,"184,7 кКал","184,7 кКал","184,7 кКал","184,7 кКал"
Печеночный паштет,"306,7 кКал","306,7 кКал","306,7 кКал","306,7 кКал"
Печень в сметанном соусе,"112,2 кКал","112,2 кКал","112,2 кКал","112,2 кКал"
Печень по Берлински,"118,2 кКал","118,2 кКал","118,2 кКал","118,2 кКал"
Печень по Южноамерикански,"139,8 кКал","139,8 кКал","139,8 кКал","139,8 кКал"
"Печень по-деревенски (печень, запеченная в яйце, - татарское национальное блюдо)",182 кКал,182 кКал,182 кКал,182 кКал
Печень по-строгановски,347 кКал,347 кКал,347 кКал,347 кКал
Печень по-строгановски,"211,8 кКал","211,8 кКал","211,8 кКал","211,8 кКал"
Печень по-шадрински,"84,8 кКал","84,8 кКал","84,8 кКал","84,8 кКал"
Печень с грибами,"251,3 кКал","251,3 кКал","251,3 кКал","251,3 кКал"
"Печень, жаренная с жиром или луком","300,3 кКал","300,3 кКал","300,3 кКал","300,3 кКал"
"Печень, тушенная в соусе","362,4 кКал","362,4 кКал","362,4 кКал","362,4 кКал"
"Печенье ""Платочки""","302,2 кКал","302,2 кКал","302,2 кКал","302,2 кКал"
Поджарка,"357,6 кКал","357,6 кКал","357,6 кКал","357,6 кКал"
Поджарка из рыбы,"276,4 кКал","276,4 кКал","276,4 кКал","276,4 кКал"
Помидоры жареные,"55,6 кКал","55,6 кКал","55,6 кКал","55,6 кКал"
"Помидоры, фаршированные грибами",58 кКал,58 кКал,58 кКал,58 кКал
"Помидоры, фаршированные овощами и рисом",118 кКал,118 кКал,118 кКал,118 кКал
"Помидоры, фаршированные творогом","91,5 кКал","91,5 кКал","91,5 кКал","91,5 кКал"
"Помидоры, фаршированные яйцом и луком","95,4 кКал","95,4 кКал","95,4 кКал","95,4 кКал"
